crop_id,scenario_id,SWSOW,SWGERM,SWHARV,DVSEND
6,direct,1,2,1,3
7,direct,1,0,1,3
8,direct,1,2,1,3
9,direct,1,2,1,3
11,direct,1,2,1,3
6,indirect,1,1,1,3
7,indirect,1,0,1,3
8,indirect,1,1,1,3
9,indirect,1,1,1,3
11,indirect,1,1,1,3
